序号,来源URL,语句内容,关键词
36,https://www.kommersant.ru/doc/4521706,"«CберМобайл», Tele2 и Huawei протестируют технологии 5G – Новости компаний







































































































































 


Реклама в «Ъ» www",Huawei
37,https://www.kommersant.ru/doc/4521706,"2020, 15:02





                «CберМобайл», Tele2 и Huawei протестируют технологии 5G
            

                Создана рабочая группа по исследованию технологических возможностей стандарта 5G",Huawei
38,https://www.kommersant.ru/doc/4521706,"«СберМобайл» (бренд оператора связи ООО «Сбербанк-Телеком»), входящий в экосистему «Сбера», оператор мобильной связи Tele2 и компания Huawei протестируют сценарии использования технологии 5G на базе технологий и инфраструктуры экосистемы «Сбера»",Huawei
39,https://www.kommersant.ru/doc/4521706,"«СберМобайл», Tele2 и Huawei проведут несколько этапов кабинетных исследований для разработки новых бизнес-моделей в сетях 5G, способов монетизации технологии, вариантов ее масштабирования и использования в различных сегментах и отраслях экономики",Huawei
40,https://www.kommersant.ru/doc/4521706,"Испытания будут проводиться совместно с компаниями экосистемы «Сбера», в том числе Cognitive Pilot, с применением платформ «СберМобайла», инфраструктуры Tele2 и разработок Huawei",Huawei
41,https://www.kommersant.ru/doc/4521706,"Чжао Лэй, вице-президент Huawei Technologies, генеральный директор подразделения операторского бизнеса Huawei в России:
«Как безусловный лидер в области развития 5G, Huawei предоставит свои уникальные передовые технологии для создания новых возможностей и сценариев бизнес-кейсов использования 5G",Huawei
42,https://www.kommersant.ru/doc/4503078,"Кроме того, семейство «Салют» будет встроено в телевизоры Honor (бренд китайской Huawei)",Huawei
43,https://www.kommersant.ru/doc/4450586,"Среди потенциальных инвесторов названы крупнейшие сотовые операторы и девелоперская ГК «Основа», а среди предполагаемых коммерческих партнеров — «Росатом», Huawei, Enel, Cisco, Schneider, «Яндекс» и др",Huawei
44,https://www.kommersant.ru/doc/4268189,В тройке лидеров на сокращающемся мировом рынке смартфонов бренд Honor заменяет его собрат Huawei,Huawei
45,https://www.kommersant.ru/doc/4268189,"Топ-3 в количественном выражении — Samsung, Honor и Apple, четвертое место занимает Huawei",Huawei
46,https://www.kommersant.ru/doc/4268189,"В январе со ссылкой на данные компании Strategy Analytics сообщал “Ъ”, из 1,41 млрд смартфонов, проданных в мире в 2019 году (–1% к 2018 году), 20,9% заняли Samsung, 17% — Huawei и 14% — Apple, в пятерку лидеров вошли также Xiaomi и OPPO",Huawei
47,https://www.kommersant.ru/doc/4584689,"Хорошим результатам Xiaomi в числе прочего помогли проблемы другой китайской компании, Huawei, продажи смартфонов которой за пределами Китая снизились из-за американских санкций и других мер против нее",Huawei
48,https://www.kommersant.ru/doc/4584689,"По мнению аналитиков компании China Merchants Securities Кевина Чэня и Клинта Су, Xiaomi продолжит наращивать свою долю на рынке благодаря хорошему спросу на бюджетные смартфоны во время пандемии и сбоям поставок Huawei — «конкурентоспособные с точки зрения цены продукты Xiaomi привлекательны в условиях экономической неопределенности»",Huawei
49,https://www.kommersant.ru/doc/4228070,"Европейская комиссия пытается продвинуть закон о единообразии зарядки уже больше десяти лет: в 2009 году с ее помощью Apple, Samsung, Huawei и Nokia подписали добровольный меморандум о взаимопонимании по согласованию зарядных устройств, готовых к поступлению на рынок в 2011 году",Huawei
50,https://www.kommersant.ru/doc/4225799,"Таким образом, Viettel, который контролируется Министерством обороны Вьетнама, опередит китайский Huawei во внедрении и использовании этой технологии",Huawei
51,https://www.kommersant.ru/doc/4225799,"сотрудников в 12 странах, стала шестой в мире, кто добился успеха в разработке и производстве оборудования для связи 5G после Ericsson, Nokia, Huawei, Samsung Electronics и ZTE",Huawei
52,https://www.kommersant.ru/doc/4244112,"Huawei запустит в России сети Wi-Fi шестого поколения – Коммерсантъ






































































































































 


Реклама в «Ъ» www",Huawei
53,https://www.kommersant.ru/doc/4244112,"2020, 15:42





                Huawei запустит в России сети Wi-Fi шестого поколения
            



Китайская Huawei представила в России линейку устройств для беспроводной связи нового поколения Wi-Fi 6 (802",Huawei
54,https://www.kommersant.ru/doc/4244112,"По словам директора по цифровой трансформации Huawei Enterprise в регионе Евразия Дениса Сереченко, сейчас проводится пилотный проект по внедрению технологии для корпоративных сетей в банковском и нефтегазовом секторах",Huawei
55,https://www.kommersant.ru/doc/4556540,"Компании сходятся в том, что первое место на рынке вернула себе южнокорейская корпорация Samsung, которую в прошлом квартале опередила китайская Huawei",Huawei
56,https://www.kommersant.ru/doc/4556540,"Теперь продажи Huawei снизились, что связано в первую очередь с американскими санкциями и другими мерами против компании",Huawei
57,https://www.kommersant.ru/doc/4556540,В результате Huawei перешла на второе место,Huawei
58,https://www.kommersant.ru/doc/4556540,"Кроме того, в топ-3 впервые вышел другой китайский производитель, Xiaomi, который обогнал Apple — ее продажам повредила отсрочка выпуска нового iPhone 12, при том, что Xiaomi активно наращивает производство, в том числе отбирая часть доли у Huawei",Huawei
59,https://www.kommersant.ru/doc/4556540,"Очень сильно упали продажи Huawei, из-за чего китайская компания сместилась на второе место,— снижение составило 22%, до 51,9 млн",Huawei
60,https://www.kommersant.ru/doc/4556540,"Тем самым, по версии IDC, в третьем квартале доля Samsung на мировом рынке смартфонов составила 22,7%, на Huawei приходится 14,7% рынка, на Xiaomi — 13,1%, доля Apple составляет 11,8%",Huawei
61,https://www.kommersant.ru/doc/4556540,"Samsung занимает 23-процентную долю на рынке, доля Huawei составляет 14,9%, доли Xiaomi и Apple — 13,5% и 12,4% соответственно",Huawei
62,https://www.kommersant.ru/doc/4327000,"В 2019 году Минкомсвязь также вела переговоры об установке «Авроры» на смартфоны Huawei в России, но они ни к чему не привели",Huawei
63,https://www.kommersant.ru/doc/4476844,"При этом модельный ряд в дорогом сегменте активно начали расширять ведущие китайские компании, указывает он: кроме Huawei и Oppo, модели дороже 50 тыс",Huawei
64,https://www.kommersant.ru/doc/4583699,"По его словам, в тестировании используется оборудование Nokia, Huawei и Ericsson",Huawei
65,https://www.kommersant.ru/doc/4566078,"На международной конференции Инфофорума Huawei представила рекомендации по развитию цифровой экономики России – Новости компаний








































































































































 


Реклама в «Ъ» www",Huawei
66,https://www.kommersant.ru/doc/4566078,"2020, 11:55





                На международной конференции Инфофорума Huawei представила рекомендации по развитию цифровой экономики России
            



Компания Huawei, ведущая глобальная компания-поставщик информационно-коммуникационных решений, приняла участие в международной конференции «Будущее цифровой безопасности",Huawei
67,https://www.kommersant.ru/doc/4566078,Заместитель директора департамента стратегического маркетинга Евразийского офиса Huawei Илья Левчук выступил с докладом «Поддержка ИКТ-отрасли в Китае,Huawei
68,https://www.kommersant.ru/doc/4566078,"Если говорить о задачах цифровизации, стоящих перед Россией, то с точки зрения Huawei, стране необходимы следующие меры:
Усиление господдержки развития 5G, ИИ и облачных технологий в приоритетных отраслях",Huawei
69,https://www.kommersant.ru/doc/4566078,"Компания Huawei готова оказывать всестороннюю поддержку российским компаниям и органам власти в реализации инициатив, направленных на развитие цифровой экономики",Huawei
70,https://www.kommersant.ru/doc/4566078,"Для этого Huawei придерживается разработанной для евразийского региона стратегии «Сообщество единого цифрового будущего», предусматривающей открытый обмен технологии с локальными партнерами и совместную разработку и продвижение продукции и экосистем",Huawei
71,https://www.kommersant.ru/doc/4566078,"Конкретные цифры, говорящие о динамично развивающемся сотрудничестве Huawei с российскими институтами в сфере науки и образования, привел Александр Зубарев, директор по информационной безопасности компании Huawei в России, который выступил на пленарном заседании  и в секции, посвященной R&D",Huawei
72,https://www.kommersant.ru/doc/4566078,"«В фокусе Российского научно-исследовательского института Huawei: общие исследования в области математики, физики и химии, разработки алгоритмов и ПО для развития ИКТ индустрии",Huawei
73,https://www.kommersant.ru/doc/4566078,"В части поддержки образования, подготовки кадров и развития талантов созданы и активно реализуются такие проекты, как Евразийские соревнования в сфере ИКТ Huawei Honor Cup, ИКТ Академии, и образовательная программа Seeds for future», – сообщил Александр Зубарев",Huawei
74,https://www.kommersant.ru/doc/4566078,Ведущий эксперт компании Huawei по интеллектуальным системам Олег Сиротюк выступил с докладом «Решения HUAWEI Atlas для умного и безопасного города»,Huawei
75,https://www.kommersant.ru/doc/4566078,Специализированные платформы для ИИ Atlas от компании Huawei обеспечивают высочайшую производительность и надежность для систем ИИ и представляют собой конкурентоспособную альтернативу распространенным аналогам» – отметил Олег Сиротюк,Huawei
76,https://www.kommersant.ru/doc/4566078,Директор по облачным решениям Huawei в России Артур Пярн посвятил выступление информационной безопасности публичных облачных решений,Huawei
77,https://www.kommersant.ru/doc/4566078,"Он отметил, что подход Huawei позволяет гарантировать безопасность публичных облаков на уровне on-premise решений: «Huawei уделяет огромное внимание безопасности облачных решений, предлагая встроенные решения по обеспечению информационной безопасности на всех уровнях работы облака",Huawei
78,https://www.kommersant.ru/doc/4566078,"Кроме того, Huawei может осуществлять комплексное управление безопасностью облака с помощью глобального распределенного центра ИБ облака, в том числе предоставляя консалтинг по организации облачной информационной безопасности для конечного пользователя",Huawei
79,https://www.kommersant.ru/doc/4566078,"Старший менеджер Huawei Enterprise Виталий Томилко рассказал об интеллектуальной сети передачи данных, предназначенной для ЦОД: «Huawei AI Fabric – это сеть нового поколения для передачи RDMA трафика без потерь пакетов",Huawei
80,https://www.kommersant.ru/doc/4566078,С помощью уникального алгоритма Huawei iLossless осуществляется интеллектуальное и оптимальное согласование потоков и очередей на коммутаторах сети ЦОД,Huawei
81,https://www.kommersant.ru/doc/4566078,"Обеспечивается возможность объединения сетей хранения, сетей высокопроизводительных вычислений и сервисной сети передачи данных в единую сеть Huawei AI Fabric",Huawei
82,https://www.kommersant.ru/doc/4566078,Использование решения AI Fabric от Huawei позволит сократить капитальные и операционные затраты на обслуживание и сопровождение сетей ЦОД»,Huawei
83,https://www.kommersant.ru/doc/4566078,"С докладами также выступили вице-президент по развитию экосистемы региона Евразия HUAWEI Михаил Комков («Использование экосистемы AppGallery как универсальной защищенной платформы для бизнеса»), инженер по применению Huawei Россия Роман Курмаев («Тренды импортозамещения как драйвер локализации»), а также ведущий ММВ эксперт Huawei в России Дмитрий Конарев («5G – стратегия обеспечения безопасности»)",Huawei
84,https://www.kommersant.ru/doc/4501241,"В пятерку крупнейших производителей смартфонов в России входят китайские Xiaomi и Huawei c дочерним брендом Honor, корейская Samsung и американская Apple",Huawei
85,https://www.kommersant.ru/doc/4501241,"«Samsung подделывают реже, поскольку отличить подделку проще из-за технологии быстрой зарядки, а Huawei и Xiaomi настолько доступны по цене, что от их подделки не будет никакой выгоды»,— поясняет он",Huawei
86,https://www.kommersant.ru/doc/4567751,"Как полагает следствие, Иван Сметанин внес в техзадание характеристики моделей оборудования Lenovo и Huawei, для которых установил заведомо завышенную начальную цену",Huawei
87,https://www.kommersant.ru/doc/4388295,"Китай предъявил обвинения канадцам, арестованным после задержания финдиректора Huawei – Коммерсантъ






































































































































 


Реклама в «Ъ» www",Huawei
88,https://www.kommersant.ru/doc/4388295,"2020, 13:57





                Китай предъявил обвинения канадцам, арестованным после задержания финдиректора Huawei
            



Китайская прокуратура предъявила официальные обвинения двум канадцам, Майклу Ковригу и Майклу Спавору, задержанным еще в 2018 году",Huawei
89,https://www.kommersant.ru/doc/4388295,"По общему мнению, эти задержания стали ответом Китая на арест в Канаде в начале декабря 2018 года финансового директора китайской технологической корпорации Huawei Мэн Ваньчжоу",Huawei
90,https://www.kommersant.ru/doc/4364080,"Видео—Эльдорадо», в апреле остался Asus, при этом в топ-5 впервые вошел Huawei",Huawei
91,https://www.kommersant.ru/doc/4364080,"По данным GfK, в общих продажах, включая корпоративные, доля Asus достигла максимальных за последние пять лет 27,1%, а Huawei занял шестое место и 2,5% рынка (см",Huawei
92,https://www.kommersant.ru/doc/4364080,"В Huawei подтвердили “Ъ”, что нарастили продажи в потребительском сегменте, отказавшись комментировать показатели",Huawei
93,https://www.kommersant.ru/doc/4519419,"Потенциально это позволит отойти от привязки сетей каждого оператора к конкретному поставщику, среди которых сейчас иностранные Huawei, Ericsson и Nokia, и постепенно встраивать в них отечественное оборудование по мере его появления на рынке",Huawei
94,https://www.kommersant.ru/doc/4519419,"Как в «Сколтехе» займутся софтом для 5G


Крупнейшие поставщики российских операторов связи сейчас иностранные — китайская Huawei, шведская Ericsson, финская Nokia",Huawei
95,https://www.kommersant.ru/doc/4576774,"В России доступно более 20 моделей смартфонов от Apple, Samsung и Huawei и около десяти планшетов Apple с поддержкой eSIM",Huawei
96,https://www.kommersant.ru/doc/4348211,"Huawei заняла 40% рынка смартфонов в России – Коммерсантъ






































































































































 


Реклама в «Ъ» www",Huawei
97,https://www.kommersant.ru/doc/4348211,"2020, 14:36





                Huawei заняла 40% рынка смартфонов в России
            



Китайская Huawei по итогам первого квартала 2020 года смогла укрепить лидерство на российском рынке, заняв 40% в поставках смартфонов в страну, что стало рекордной долей для компании, следует из отчета IDC, с которым ознакомился “Ъ”",Huawei
98,https://www.kommersant.ru/doc/4348211,"При этом под брендом Honor (принадлежит Huawei) в Россию поставлялось в три раза больше устройств, чем под брендом Huawei",Huawei
99,https://www.kommersant.ru/doc/4249580,"Минюст США призвал покупать акции Ericsson и Nokia, чтобы противостоять Huawei – Коммерсантъ








































































































































 


Реклама в «Ъ» www",Huawei
100,https://www.kommersant.ru/doc/4249580,"2020, 16:36





                Минюст США призвал покупать акции Ericsson и Nokia, чтобы противостоять Huawei
            



Генеральный прокурор США Уильям Барр призвал США приобрести контрольный пакет акций европейских производителей телекоммуникационного оборудования Ericsson и Nokia, чтобы создать сильного конкурента китайской Huawei",Huawei
101,https://www.kommersant.ru/doc/4249580,"Американские власти неоднократно призывали своих союзников не использовать телекоммуникационное оборудование Huawei, но эти призывы увенчались лишь ограниченным успехом",Huawei
102,https://www.kommersant.ru/doc/4249580,"На прошлой неделе власти Великобритании и ЕС ввели некоторые ограничения на использование оборудования Huawei, но ограничения оказались более скромными, чем ожидалось",Huawei
103,https://www.kommersant.ru/doc/4249580,"Несколько дней назад глава Vodafone Ник Рид заявил, что слишком жесткие требования в отношении оборудования Huawei отложили бы разворачивание 5G-сетей в Европе на срок от двух до пяти лет",Huawei
104,https://www.kommersant.ru/doc/4249580,"— “Ъ”) Huawei, но чью инфраструктуру они тогда будут устанавливать",Huawei
105,https://www.kommersant.ru/doc/4249580,"» — заявил он, добавив, что у Nokia и Ericsson нет «ни масштаба Huawei, ни поддержки такой могущественной страны с большим внутренним рынком, как Китай»",Huawei
106,https://www.kommersant.ru/doc/4616300,"Серверы Huawei TaiShan 200 (TS 200-2280) совместимы с ОС Astra Linux – Новости компаний







































































































































 


Реклама в «Ъ» www",Huawei
107,https://www.kommersant.ru/doc/4616300,"2020, 19:09





                Серверы Huawei TaiShan 200 (TS 200-2280) совместимы с ОС Astra Linux
            



Проведена серия проверок совместимости серверов Huawei TaiShan 200 (TS 200-2280) с ОС Astra Linux Special Edition",Huawei
108,https://www.kommersant.ru/doc/4616300,"ГК Astra Linux, ведущий российский разработчик операционных систем и средств виртуализации, и компания Huawei, ведущий мировой поставщик инфокоммуникационных, инфраструктурных решений и умных устройств, сообщают об успешном завершении испытаний совместимости нового сервера Huawei TaiShan 200 2280 V2 и операционной системы специального назначения Astra Linux Special Edition, релиз «Новороссийск» версии 4",Huawei
109,https://www.kommersant.ru/doc/4616300,Ранее ГК Astra Linux уже объявляла об успешных результатах тестирования совместимости ОС Astra Linux c предыдущей версией сервера Huawei на базе 32-разрядных процессоров KunPeng 916,Huawei
110,https://www.kommersant.ru/doc/4616300,"Huawei TaiShan 200 2280 V2, выполненный на базе двух новых 64-разрядных процессоров KunPeng 920 с 128 ядрами и тактовой частотой 2",Huawei
111,https://www.kommersant.ru/doc/4616300,Для тестирования программно-аппаратного стека был предоставлен двухсокетный стоечный сервер Huawei TaiShan 200 (TS 200-2280) на базе двух процессоров Hisilicon ARM KunPeng 920-4826 с частотой 2,Huawei
112,https://www.kommersant.ru/doc/4616300,"В итоге было установлено, что все компоненты гибридного стека работают в штатном режиме и сервер Huawei TaiShan 200 (TS 200-2280) можно использовать с отечественной ОС",Huawei
113,https://www.kommersant.ru/doc/4616300,"Результаты проведенного исследования и совместимость решений официально подтверждены сертификатом №3777/2020, который получил сервер Huawei в рамках партнерской программы Ready for Astra Linux",Huawei
114,https://www.kommersant.ru/doc/4616300,"ГК Astra Linux намерена продолжить работы, направленные на развитие мультиплатформенности, и теперь официально подтверждена поддержка новых серверов Huawei",Huawei
