序号,链接,标题,匹配语料
90,https://tass.ru/ekonomika/18535603,В ФРГ заявили,"Газета Handelsblatt проинформировала в середине июля, что власти ФРГ могут запретить германским фирмам использовать комплектующие китайских телекоммуникационных компаний Huawei и ZTE для развития сетей 5G уже до конца 2023 года из-за ""рисков безопасности""."
91,https://tass.ru/ekonomika/18535603,В ФРГ заявили,Министр внутренних дел Германии Нэнси Фезер не считает высокие издержки германских провайдеров весомым аргументом для блокировки возможного запрета на использование комплектующих китайских телекоммуникационных компаний Huawei и ZTE в европейских сетях 5G.
92,https://tass.ru/ekonomika/18535603,В ФРГ заявили,"По словам министра, власти республики все еще не завершили проверку компонентов Huawei, однако их запрет неизбежен, если окажется, что они представляют ""серьезную угрозу безопасности""."
93,https://tass.ru/ekonomika/18535603,В ФРГ заявили,"В 2020 году Брюссель опубликовал рекомендации по исключению поставщиков оборудования, таких как Huawei, из цепочек поставок для создания 5G-сетей на территории Евросоюза."
94,https://tass.ru/mezhdunarodnaya-panorama/18495673,Глава МВД ФРГ намерена усилить проверки безопасности в органах власти12 августа 2023,"Говоря об использовании в ФРГ компонентов китайской компании Huawei, она заметила, что власти ФРГ ""продолжают очень внимательно изучать китайские компоненты""."
95,https://tass.ru/ekonomika/18473167,FT: США не хотят поставлять истребители F-35 для ОАЭ из-за боязни утечек технологий в КНР09 августа 2023,"Ранее агентство Bloomberg информировало, что Вашингтон оказывает давление на Абу-Даби, вынуждая его в течение четырех лет избавиться от оборудования и технологий китайской компании Huawei Technologies, используемых в информационных сетях страны."
96,https://tass.ru/ekonomika/18461705,Один из руководителей банка HSBC извинился за свои слова о зависимости Британии от США07 августа 2023,"В качестве примера решения, принятого под давлением Вашингтона, он назвал отказ Лондона в 2020 году от сотрудничества с китайской корпорацией Huawei в создании сетей 5G на территории королевства."
97,https://tass.ru/ekonomika/18461705,Один из руководителей банка HSBC извинился за свои слова о зависимости Британии от США07 августа 2023,Великобритания тогда также обязала британские компании заменить 5G-оборудование Huawei аналогами от других производителей.
98,https://tass.ru/mezhdunarodnaya-panorama/18453373,Telegraph: правительство Британии опасается слежки Китая через электрические автомобили06 августа 2023,"В 2020 году под давлением США Великобритания отказалась от сотрудничества с китайской корпорацией Huawei в создании сетей 5G на территории королевства, а также обязала британские компании заменить 5G-оборудование Huawei аналогами от других производителей."
99,https://tass.ru/ekonomika/18436699,В Vodafone предупредили о рисках ухудшения качества связи при отказе от продукции Huawei03 августа 2023,"Ранее газета NRC Handelsblatt сообщала , что власти ФРГ могут запретить германским компаниям использовать комплектующие Huawei и ZTE при строительстве сетей 5G уже до конца этого года из-за ""рисков безопасности""."
100,https://tass.ru/ekonomika/18436699,В Vodafone предупредили о рисках ухудшения качества связи при отказе от продукции Huawei03 августа 2023,Резкий отказ от использования комплектующих китайских телекоммуникационных компаний Huawei и ZTE для развития сетей 5G негативным образом скажется на стабильности и качестве передачи данных в германских мобильных сетях.
101,https://tass.ru/obschestvo/18433053,Роскомнадзор опроверг информацию о возможном запрете продажи техники Apple в РФ03 августа 2023,"Также предприятие планирует закупить 21 смартфон других брендов, таких как Xiaomi, Huawei, Samsung, Vivo и Oppo."
102,https://tass.ru/ekonomika/18429743,Роскомнадзор проверит технику Apple для безопасного доступа граждан к цифровым сервисам РФ02 августа 2023,"Также предприятие планирует закупить 21 смартфон от других брендов, таких как Xiaomi, Huawei, Samsung, Vivo и Oppo."
103,https://tass.ru/ekonomika/18419131,"""Ведомости"": Роскомнадзор проверит устройства Apple на защищенность01 августа 2023","Также предприятие планирует закупить 21 смартфон от других брендов, таких как Xiaomi, Huawei, Samsung, Vivo и Oppo."
104,https://tass.ru/ekonomika/18418645,"Приложение ""Тинькофф банка"" удалили из Google Play01 августа 2023","Также в кредитной организации добавили, что приложения ""Тинькофф"" можно скачивать и обновлять через онлайн-магазины Xiaomi GetApps, Samsung Galaxy Store, Huawei AppGallery или со страницы на сайте ""Тинькофф""."
105,https://tass.ru/ekonomika/18324115,NRC: ФРГ может до конца года запретить применение технологий Huawei и ZTE в сетях 5G20 июля 2023,"Власти ФРГ могут запретить немецким фирмам использовать комплектующие китайских телекоммуникационных компаний Huawei и ZTE для развития сетей 5G уже до конца 2023 года из-за ""рисков безопасности""."
106,https://tass.ru/ekonomika/18324115,NRC: ФРГ может до конца года запретить применение технологий Huawei и ZTE в сетях 5G20 июля 2023,"Как считают в ведомстве, использование отдельных компонентов производства Huawei и ZTE ""может повлечь за собой риски для безопасности""."
